Grapheme	IPA	Frequence	Codepoints
^=	+
^_	NULL
^__	NULL
_	+	1194	U+005f
_$	NULL
_-	+
_-$	NULL
__	+	7	U+005f U+005f
__$	NULL
`	ʔ	1	U+0060
a	a	11645	U+0061
a:	aː	227	U+0061 U+003a
a:a	aː a	9	U+0061 U+003a U+0061
a:ay	aːay/aːi	2	U+0061 U+003a U+0061 U+0079
a:y	aːy/aːi	4	U+0061 U+003a U+0079
aa	aː	375	U+0061 U+0061
aay	aay/aːi	2	U+0061 U+0061 U+0079
ae	ae	6	U+0061 U+0065
ai	ai	162	U+0061 U+0069
ai:	aiː	1	U+0061 U+0069 U+003a
aii	aiː	4	U+0061 U+0069 U+0069
aiyi	ai y/j i	1	U+0061 U+0069 U+0079 U+0069
aiyou	ai y/j ou	1	U+0061 U+0069 U+0079 U+006f U+0075
ao	ao	42	U+0061 U+006f
aoo	aoː	2	U+0061 U+006f U+006f
au	au	45	U+0061 U+0075
auu	auː	5	U+0061 U+0075 U+0075
ay	ay/ai	748	U+0061 U+0079
aya	a y/j a	61	U+0061 U+0079 U+0061
aya:	a y/j aː	1	U+0061 U+0079 U+0061 U+003a
aye	a y/j e	2	U+0061 U+0079 U+0065
ayi	a y/j i	19	U+0061 U+0079 U+0069
ayie	a y/j ie	1	U+0061 U+0079 U+0069 U+0065
ayo	a y/j o	1	U+0061 U+0079 U+006f
ayu	a y/j u	3	U+0061 U+0079 U+0075
ayya	a yy/jː a	11	U+0061 U+0079 U+0079 U+0061
ayɔ	a y/j ɔ	2	U+0061 U+0079 U+0254
ayə	a y/j ə	3	U+0061 U+0079 U+0259
aə	aə	1	U+0061 U+0259
aɪ	aɪ	1	U+0061 U+026a
aʊ	aʊ	1	U+0061 U+028a
aˁ	aˤ/a ʕ	15	U+0061 U+02c1
aː	aː	274	U+0061 U+02d0
aːe	aːe	1	U+0061 U+02d0 U+0065
aːi	aːi	1	U+0061 U+02d0 U+0069
aỹa	a ỹ/j a	1	U+0061 U+1ef9 U+0061
b	b	2593	U+0062
bb	bb/bː	8	U+0062 U+0062
bh	bh/bʰ	2	U+0062 U+0068
bs	b s	9	U+0062 U+0073
bɕ	b ɕ	1	U+0062 U+0255
bˀ	bˀ	3	U+0062 U+02c0
c	c/ts	1068	U+0063
cc	cc/tsː	163	U+0063 U+0063
ch	ch/tʃ	180	U+0063 U+0068
chw	ch/x w	20	U+0063 U+0068 U+0077
cs	cs/ts	1	U+0063 U+0073
cw	c w	78	U+0063 U+0077
cˀ	cˀ	3	U+0063 U+02c0
d	d	2491	U+0064
dd	dd/dː	10	U+0064 U+0064
dw	d w	1	U+0064 U+0077
dʐ	ɖʐ	29	U+0064 U+0290
dʑ	dʑ	32	U+0064 U+0291
dʒ	dʒ	30	U+0064 U+0292
dˀ	dˀ	1	U+0064 U+02c0
d́	d́/d	5	U+0064 U+0301
e	e	4098	U+0065
e:	eː	95	U+0065 U+003a
ea	ea	12	U+0065 U+0061
ee	eː	75	U+0065 U+0065
eei	eːi	2	U+0065 U+0065 U+0069
ei	ei	42	U+0065 U+0069
eo	eo	1	U+0065 U+006f
eu	eu	5	U+0065 U+0075
euy	eu y/j	4	U+0065 U+0075 U+0079
ey	ey/ei	197	U+0065 U+0079
eya	e y/j a	9	U+0065 U+0079 U+0061
eye	e y/j e	13	U+0065 U+0079 U+0065
eyi	e y/j i	16	U+0065 U+0079 U+0069
eyi:	e y/j iː	1	U+0065 U+0079 U+0069 U+003a
eyo	e y/j o	1	U+0065 U+0079 U+006f
eyye	e yy/jː e	1	U+0065 U+0079 U+0079 U+0065
eə	eə	1	U+0065 U+0259
eˁ	eˤ/e ʕ	9	U+0065 U+02c1
eː	eː	99	U+0065 U+02d0
eːa	eːa	1	U+0065 U+02d0 U+0061
f	f	286	U+0066
ff	ff/fː	10	U+0066 U+0066
fˀ	fˀ	1	U+0066 U+02c0
g	g	2340	U+0067
gg	gg/gː	13	U+0067 U+0067
gh	g h	66	U+0067 U+0068
gs	g s	18	U+0067 U+0073
gw	g w	1	U+0067 U+0077
gʃ	g ʃ	1	U+0067 U+0283
gˀ	gˀ	1	U+0067 U+02c0
h	h	1726	U+0068
hs	h s	11	U+0068 U+0073
hw	hw/hʷ	26	U+0068 U+0077
hˀ	hˀ	1	U+0068 U+02c0
h̥	h̥/h	1	U+0068 U+0325
i	i	7163	U+0069
i:	iː	48	U+0069 U+003a
i:e	iː e	6	U+0069 U+003a U+0065
i:i	iː i	2	U+0069 U+003a U+0069
i:y	iːy	1	U+0069 U+003a U+0079
ia	i a	78	U+0069 U+0061
iao	i/j ao	5	U+0069 U+0061 U+006f
ie	i/j e	50	U+0069 U+0065
ie:	i/j eː	1	U+0069 U+0065 U+003a
ii	iː	207	U+0069 U+0069
io	i/j o	25	U+0069 U+006f
iou	i/j ou	1	U+0069 U+006f U+0075
iu	i/j u	19	U+0069 U+0075
iu:	iuː	1	U+0069 U+0075 U+003a
iy	iy/i	65	U+0069 U+0079
iya	i y/j a	4	U+0069 U+0079 U+0061
iye	i y/j e	8	U+0069 U+0079 U+0065
iyi	i y/j i	21	U+0069 U+0079 U+0069
iyɘ	i y/j ɘ	1	U+0069 U+0079 U+0258
iɔ	i/j ɔ	3	U+0069 U+0254
iə	i/j ə	56	U+0069 U+0259
iəa	i/j əa	1	U+0069 U+0259 U+0061
iɛ	i/j ɛ	4	U+0069 U+025b
iɛ:	i/j ɛː	1	U+0069 U+025b U+003a
iʾə	iʾə/iə	1	U+0069 U+02be U+0259
iˁ	iˤ/i ʕ	7	U+0069 U+02c1
iː	iː	256	U+0069 U+02d0
i̥	i̥/i	51	U+0069 U+0325
i̥̥	i̥/ɨ	1	U+0069 U+0325 U+0325
j	j	996	U+006a
jj	jj/dʒː	2	U+006a U+006a
js	j s	3	U+006a U+0073
jˀ	jˀ	1	U+006a U+02c0
k	k	5080	U+006b
kh	kʰ	175	U+006b U+0068
kk	kː	274	U+006b U+006b
ks	k s	98	U+006b U+0073
kssw	k ss/sː w	1	U+006b U+0073 U+0073 U+0077
ksw	k s w	6	U+006b U+0073 U+0077
kw	kʷ	177	U+006b U+0077
k̚	k̚/k	10	U+006b U+031a
l	l	4645	U+006c
lh	l h	51	U+006c U+0068
lhw	lh/lʰ w	1	U+006c U+0068 U+0077
ll	lː	105	U+006c U+006c
ls	l s	16	U+006c U+0073
lw	l w	11	U+006c U+0077
m	m	3705	U+006d
mh	mh/mʰ	26	U+006d U+0068
mm	mː	16	U+006d U+006d
ms	m s	41	U+006d U+0073
msw	m s w	15	U+006d U+0073 U+0077
mw	m w	136	U+006d U+0077
n	n	6663	U+006e
nh	n h	32	U+006e U+0068
nn	nː	84	U+006e U+006e
ns	n s	17	U+006e U+0073
nw	n w	74	U+006e U+0077
nɕ	n ɕ	2	U+006e U+0255
nˀ	nˀ	1	U+006e U+02c0
n̥	n̥/n̥	1	U+006e U+0325
o	o	4241	U+006f
o:	oː	92	U+006f U+003a
o:y	o:y/oːi	2	U+006f U+003a U+0079
o:yu	oː y/j u	1	U+006f U+003a U+0079 U+0075
oa	oa	17	U+006f U+0061
oe	oe	3	U+006f U+0065
oi	oi	27	U+006f U+0069
oo	oː	167	U+006f U+006f
ooi	oːi	1	U+006f U+006f U+0069
oou	oːu	1	U+006f U+006f U+0075
ou	ou	19	U+006f U+0075
oua	ou a	1	U+006f U+0075 U+0061
oy	oy/oi	123	U+006f U+0079
oya	o y/j a	6	U+006f U+0079 U+0061
oyi	o y/j i	3	U+006f U+0079 U+0069
oyo	o y/j o	6	U+006f U+0079 U+006f
oyo:	o y/j oː	1	U+006f U+0079 U+006f U+003a
oyu	o y/j u	14	U+006f U+0079 U+0075
oyya	o yy/jː a	1	U+006f U+0079 U+0079 U+0061
oˁ	oˤ/o ʕ	8	U+006f U+02c1
oː	oː	216	U+006f U+02d0
p	p	1592	U+0070
ph	pʰ	145	U+0070 U+0068
phph	phph/pʰː	3	U+0070 U+0068 U+0070 U+0068
phs	ph/pʰ s	7	U+0070 U+0068 U+0073
phw	ph/pʰ w	31	U+0070 U+0068 U+0077
pp	pː	113	U+0070 U+0070
ps	p s	9	U+0070 U+0073
pss	p ss/sː	2	U+0070 U+0073 U+0073
pw	p w	102	U+0070 U+0077
pʰ	pʰ	2	U+0070 U+02b0
pˀ	pˀ	1	U+0070 U+02c0
q	q	168	U+0071
r	r	5298	U+0072
rh	rh/rʰ	27	U+0072 U+0068
rr	rr/rː	7	U+0072 U+0072
rs	r s	49	U+0072 U+0073
rw	r w	6	U+0072 U+0077
r˳	r̥/r	2	U+0072 U+02f3
s	s	3378	U+0073
sh	sh/ʃ	37	U+0073 U+0068
ss	sː	141	U+0073 U+0073
ssw	ss/sː w	1	U+0073 U+0073 U+0077
sw	s w	88	U+0073 U+0077
sˀ	sˀ	5	U+0073 U+02c0
t	t	5052	U+0074
th	tʰ	213	U+0074 U+0068
thw	th/tʰ w	5	U+0074 U+0068 U+0077
ts	ts	107	U+0074 U+0073
tt	tː	210	U+0074 U+0074
tw	t w	81	U+0074 U+0077
tɕ	tɕ	42	U+0074 U+0255
tʂ	ʈʂ	16	U+0074 U+0282
tʃ	tʃ	11	U+0074 U+0283
t́	t́/t	13	U+0074 U+0301
t̕	t̕/t	1	U+0074 U+0315
t̥	t̥/t	1	U+0074 U+0325
t͡ʃ	tʃ	3	U+0074 U+0361 U+0283
u	u	7451	U+0075
u:	uː	149	U+0075 U+003a
u:o	uːo	2	U+0075 U+003a U+006f
u:u	uː u	1	U+0075 U+003a U+0075
u:y	uːy/uːi	2	U+0075 U+003a U+0079
ua	u/w a	55	U+0075 U+0061
uai	u/w ai	15	U+0075 U+0061 U+0069
uayi	u/w a y/j i	1	U+0075 U+0061 U+0079 U+0069
ue	u/w e	23	U+0075 U+0065
ui	ui	106	U+0075 U+0069
ui:	uiː	1	U+0075 U+0069 U+003a
uii	uiː	1	U+0075 U+0069 U+0069
uiyi	ui y/j i	2	U+0075 U+0069 U+0079 U+0069
uiː	uiː	1	U+0075 U+0069 U+02d0
uo	u/w o	38	U+0075 U+006f
uo:	u/w oː	2	U+0075 U+006f U+003a
uoy	u/w oy/oi	1	U+0075 U+006f U+0079
