ID	IDInXML	Latitude	Longitude	Name	NameInSheet	Family	NameInSheets	Glottocode	ISO639P3code	Note
Udihe	Udihe	46.63	135.68	Udihe	Udihe	Tungusic	Udihe	udih1248	ude	
Ulcha	Ulcha	51.85	140.29	Ulcha	Ulcha	Tungusic	Ulcha	ulch1242		
Uyghur	Uyghur	43.88	87.38	Uyghur	Uyghur	Turkic	Uyghur	uigh1240	uig	
Uzbek	Uzbek	40.89	69.21	Uzbek	Uzbek	Turkic	Uzbek	uzbe1247	uzb	
WestYugur	WestYugur	39.05	99.31	WestYugur	WestYugur	Turkic		west2402	ybe	
Xibe	Xibe	43.59	81	Xibe	Xibe	Tungusic	Xibe	xibe1242	sjo	
YaeyamaHatoma	Yaeyama_Hatoma	24.17	123.51	Yaeyama Hatoma	Yaeyama Hatoma	Japonic	Hatoma	hato1238	rys	
YaeyamaIshigaki	Yaeyama_Ishigaki	24.2	124.09	Yaeyama Ishigaki	Yaeyama Ishigaki	Japonic	Ishigaki	ishi1240	rys	
Yakut	Yakut	61.7	133.98	Yakut	Yakut	Turkic	Yakut	yaku1245	sah	
Yonaguni	Yonaguni	24.28	123	Yonaguni	Yonaguni	Japonic	Yonaguni	yona1241	yoi	
