ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Root
Tofa-1_firen-1-1,Tofa-1_firen-1,ot,5,false,expert,,,,,*o:t
Turkmen-1_firen-1-1,Turkmen-1_firen-1,o:t,5,false,expert,,,,,*o:t
Tuvan-1_firen-1-1,Tuvan-1_firen-1,ot,5,false,expert,,,,,*o:t
Uyghur-1_firen-1-1,Uyghur-1_firen-1,ot,5,false,expert,,,,,*o:t
WestYugur-1_firen-1-1,WestYugur-1_firen-1,ot,5,false,expert,,,,,*o:t
Yakut-1_firen-1-1,Yakut-1_firen-1,uot,5,false,expert,,,,,*o:t
CrimeanTatar-1_firen-1-1,CrimeanTatar-1_firen-1,ateš_bor,6,false,expert,,,,,*âtaš bor
Gagauz-1_firen-1-1,Gagauz-1_firen-1,ateš_bor,6,false,expert,,,,,*âtaš bor
Turkish-1_firen-1-1,Turkish-1_firen-1,ateš_bor,6,false,expert,,,,,*âtaš bor
Uzbek-1_firen-1-1,Uzbek-1_firen-1,ɔlɔv_bor,7,false,expert,,,,,*alav bor
AmamiAsama-2_nosen-1-1,AmamiAsama-2_nosen-1,hanaa,8,false,expert,,,,,*pana
AmamiYamatohama-2_nosen-1-1,AmamiYamatohama-2_nosen-1,hana,8,false,expert,,,,,*pana
AmamiYoron-2_nosen-1-1,AmamiYoron-2_nosen-1,pana,8,false,expert,,,,,*pana
Fukuoka-2_nosen-1-1,Fukuoka-2_nosen-1,hana,8,false,expert,,,,,*pana
Hachijo-2_nosen-1-1,Hachijo-2_nosen-1,hana,8,false,expert,,,,,*pana
Japanese-2_nosen-1-1,Japanese-2_nosen-1,hana,8,false,expert,,,,,*pana
Kagoshima-2_nosen-1-1,Kagoshima-2_nosen-1,hana,8,false,expert,,,,,*pana
Koshikiislands-2_nosen-1-1,Koshikiislands-2_nosen-1,hana,8,false,expert,,,,,*pana
Kumamoto-2_nosen-1-1,Kumamoto-2_nosen-1,hana,8,false,expert,,,,,*pana
MiyakoIrabu-2_nosen-1-1,MiyakoIrabu-2_nosen-1,pana,8,false,expert,,,,,*pana
OkinawaShuri-2_nosen-1-1,OkinawaShuri-2_nosen-1,hana,8,false,expert,,,,,*pana
OkinawaYonamine-2_nosen-1-1,OkinawaYonamine-2_nosen-1,panaa,8,false,expert,,,,,*pana
OldJapanese-2_nosen-1-1,OldJapanese-2_nosen-1,pana,8,false,expert,,,,,*pana
YaeyamaHatoma-2_nosen-1-1,YaeyamaHatoma-2_nosen-1,pana,8,false,expert,,,,,*pana
YaeyamaIshigaki-2_nosen-1-1,YaeyamaIshigaki-2_nosen-1,hana,8,false,expert,,,,,*pana
Yonaguni-2_nosen-1-1,Yonaguni-2_nosen-1,hánaburu,8,false,expert,,,,,*pana
Gangwon-2_nosen-1-1,Gangwon-2_nosen-1,kho,9,false,expert,,,,,*koh
Gyeonggi-2_nosen-1-1,Gyeonggi-2_nosen-1,kho,9,false,expert,,,,,*koh
Hwanghae-2_nosen-1-1,Hwanghae-2_nosen-1,kho,9,false,expert,,,,,*koh
Jeju-2_nosen-1-1,Jeju-2_nosen-1,kho,9,false,expert,,,,,*koh
Korean-2_nosen-1-1,Korean-2_nosen-1,kho,9,false,expert,,,,,*koh
LateMiddleKorean-2_nosen-1-1,LateMiddleKorean-2_nosen-1,kho,9,false,expert,,,,,*koh
NorthernChungcheong-2_nosen-1-1,NorthernChungcheong-2_nosen-1,kho,9,false,expert,,,,,*koh
NorthernGyeongsang-2_nosen-1-1,NorthernGyeongsang-2_nosen-1,kho,9,false,expert,,,,,*koh
NorthernHamgyong-2_nosen-1-1,NorthernHamgyong-2_nosen-1,kho,9,false,expert,,,,,*koh
NorthernJeolla-2_nosen-1-1,NorthernJeolla-2_nosen-1,kho,9,false,expert,,,,,*koh
NorthernPyongan-2_nosen-1-1,NorthernPyongan-2_nosen-1,kho,9,false,expert,,,,,*koh
SouthernChungcheong-2_nosen-1-1,SouthernChungcheong-2_nosen-1,kho,9,false,expert,,,,,*koh
SouthernGyeongsang-2_nosen-1-1,SouthernGyeongsang-2_nosen-1,kho,9,false,expert,,,,,*koh
SouthernHamgyong-2_nosen-1-1,SouthernHamgyong-2_nosen-1,kho,9,false,expert,,,,,*koh
SouthernJeolla-2_nosen-1-1,SouthernJeolla-2_nosen-1,kho,9,false,expert,,,,,*koh
SouthernPyongan-2_nosen-1-1,SouthernPyongan-2_nosen-1,kho,9,false,expert,,,,,*koh
Orok-2_nosen-1-1,Orok-2_nosen-1,huriga,10,false,expert,,,,,*xureː
Oroch-2_nosen-1-1,Oroch-2_nosen-1,ŋikso,11,false,expert,,,,,*niaksa
Solon-2_nosen-1-1,Solon-2_nosen-1,niːnša,11,false,expert,,,,,*niaksa
Udihe-2_nosen-1-1,Udihe-2_nosen-1,ŋö,11,false,expert,,,,,*niaksa
Ulcha-2_nosen-1-1,Ulcha-2_nosen-1,waksa,11,false,expert,,,,,*niaksa
Jurchen-2_nosen-1-1,Jurchen-2_nosen-1,suŋgi,12,false,expert,,,,,*soŋgi-
EasternEvenki-2_nosen-1-1,EasternEvenki-2_nosen-1,oŋokto,13,false,expert,,,,,*xoŋa-
Even-2_nosen-1-1,Even-2_nosen-1,ọŋat,13,false,expert,,,,,*xoŋa-
EvenkiKamnigan-2_nosen-1-1,EvenkiKamnigan-2_nosen-1,oŋokto,13,false,expert,,,,,*xoŋa-
Negidal-2_nosen-1-1,Negidal-2_nosen-1,oŋokto,13,false,expert,,,,,*xoŋa-
NorthernEvenkiTura-2_nosen-1-1,NorthernEvenkiTura-2_nosen-1,oňokto,13,false,expert,,,,,*xoŋa-
NorthernEvenkiTutonchany-2_nosen-1-1,NorthernEvenkiTutonchany-2_nosen-1,oŋokto,13,false,expert,,,,,*xoŋa-
Oroqen-2_nosen-1-1,Oroqen-2_nosen-1,ɔŋɔktɔ,13,false,expert,,,,,*xoŋa-
SouthernEvenkiChiringda-2_nosen-1-1,SouthernEvenkiChiringda-2_nosen-1,oŋoktɒ,13,false,expert,,,,,*xoŋa-
SouthernEvenkiVershinaTuturyBaikal-2_nosen-1-1,SouthernEvenkiVershinaTuturyBaikal-2_nosen-1,oŋokto,13,false,expert,,,,,*xoŋa-
StonyEvenkiPTPodkamennayaTunguska-2_nosen-1-1,StonyEvenkiPTPodkamennayaTunguska-2_nosen-1,oŋokto,13,false,expert,,,,,*xoŋa-
Hezhe-2_nosen-1-1,Hezhe-2_nosen-1,ofurə,14,false,expert,,,,,*opora
KurUrmi-2_nosen-1-1,KurUrmi-2_nosen-1,oforo,14,false,expert,,,,,*opora
Manchu-2_nosen-1-1,Manchu-2_nosen-1,oforo,14,false,expert,,,,,*opora
NanaiBikin-2_nosen-1-1,NanaiBikin-2_nosen-1,oforo,14,false,expert,,,,,*opora
NanaiMiddleAmur-2_nosen-1-1,NanaiMiddleAmur-2_nosen-1,oporo,14,false,expert,,,,,*opora
Xibe-2_nosen-1-1,Xibe-2_nosen-1,ovur,14,false,expert,,,,,*opora
Baoan-2_nosen-1-1,Baoan-2_nosen-1,xawar,15,false,expert,,,,,*kabar
Buriat-2_nosen-1-1,Buriat-2_nosen-1,xamar,15,false,expert,,,,,*kabar
Dagur-2_nosen-1-1,Dagur-2_nosen-1,hamara,15,false,expert,,,,,*kabar
Dongxian-2_nosen-1-1,Dongxian-2_nosen-1,qawa,15,false,expert,,,,,*kabar
Huzhu-2_nosen-1-1,Huzhu-2_nosen-1,hawari,15,false,expert,,,,,*kabar
Kalmyck-2_nosen-1-1,Kalmyck-2_nosen-1,xamr,15,false,expert,,,,,*kabar
Kamnigan-2_nosen-1-1,Kamnigan-2_nosen-1,kamar,15,false,expert,,,,,*kabar
Kangjia-2_nosen-1-1,Kangjia-2_nosen-1,χuar,15,false,expert,,,,,*kabar
Khalkha-2_nosen-1-1,Khalkha-2_nosen-1,xamar,15,false,expert,,,,,*kabar
MiddleMongolianMuqaddimataladab-2_nosen-1-1,MiddleMongolianMuqaddimataladab-2_nosen-1,qabar,15,false,expert,,,,,*kabar
MiddleMongolianSecretHistory-2_nosen-1-1,MiddleMongolianSecretHistory-2_nosen-1,qabar,15,false,expert,,,,,*kabar
Minhe-2_nosen-1-1,Minhe-2_nosen-1,khaber,15,false,expert,,,,,*kabar
Moghol-2_nosen-1-1,Moghol-2_nosen-1,qabar,15,false,expert,,,,,*kabar
Oirat-2_nosen-1-1,Oirat-2_nosen-1,xamar,15,false,expert,,,,,*kabar
ShiraYughur-2_nosen-1-1,ShiraYughur-2_nosen-1,xawar,15,false,expert,,,,,*kabar
Tofa-2_nosen-1-1,Tofa-2_nosen-1,haay,16,false,expert,,,,,*kaŋ-
Tuvan-2_nosen-1-1,Tuvan-2_nosen-1,χaay,16,false,expert,,,,,*kaŋ-
WestYugur-2_nosen-1-1,WestYugur-2_nosen-1,ḳaŋrïḳ,16,false,expert,,,,,*kaŋ-
Azeri-2_nosen-1-1,Azeri-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
BarabaTatar-2_nosen-1-1,BarabaTatar-2_nosen-1,morïn,17,false,expert,,,,,*burun ~ *burïn
CodexCumanicus-2_nosen-1-1,CodexCumanicus-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
CrimeanTatar-2_nosen-1-1,CrimeanTatar-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
Dolgan-2_nosen-1-1,Dolgan-2_nosen-1,munnu,17,false,expert,,,,,*burun ~ *burïn
Gagauz-2_nosen-1-1,Gagauz-2_nosen-1,burnu,17,false,expert,,,,,*burun ~ *burïn
KarachayBalkar-2_nosen-1-1,KarachayBalkar-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
Karaim-2_nosen-1-1,Karaim-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
KaraKalpak-2_nosen-1-1,KaraKalpak-2_nosen-1,murïn,17,false,expert,,,,,*burun ~ *burïn
Kazakh-2_nosen-1-1,Kazakh-2_nosen-1,murïn,17,false,expert,,,,,*burun ~ *burïn
KazanTatar-2_nosen-1-1,KazanTatar-2_nosen-1,borïn,17,false,expert,,,,,*burun ~ *burïn
Khakas-2_nosen-1-1,Khakas-2_nosen-1,purun,17,false,expert,,,,,*burun ~ *burïn
Khalaj-2_nosen-1-1,Khalaj-2_nosen-1,burïn,17,false,expert,,,,,*burun ~ *burïn
Kirghiz-2_nosen-1-1,Kirghiz-2_nosen-1,murun,17,false,expert,,,,,*burun ~ *burïn
Kumyk-2_nosen-1-1,Kumyk-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
MiddleChulym-2_nosen-1-1,MiddleChulym-2_nosen-1,purun,17,false,expert,,,,,*burun ~ *burïn
Nogai-2_nosen-1-1,Nogai-2_nosen-1,burïn,17,false,expert,,,,,*burun ~ *burïn
NorthAltai-2_nosen-1-1,NorthAltai-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
OldTurkic-2_nosen-1-1,OldTurkic-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
Salar-2_nosen-1-1,Salar-2_nosen-1,purnï,17,false,expert,,,,,*burun ~ *burïn
Shor-2_nosen-1-1,Shor-2_nosen-1,purnu,17,false,expert,,,,,*burun ~ *burïn
Turkish-2_nosen-1-1,Turkish-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
Turkmen-2_nosen-1-1,Turkmen-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
Uyghur-2_nosen-1-1,Uyghur-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
Uzbek-2_nosen-1-1,Uzbek-2_nosen-1,burun,17,false,expert,,,,,*burun ~ *burïn
Yakut-2_nosen-1-1,Yakut-2_nosen-1,murun,17,false,expert,,,,,*burun ~ *burïn
SouthAltai-2_nosen-1-1,SouthAltai-2_nosen-1,tumčuḳ,18,false,expert,,,,,*tumčuk
Tuvan-2_nosen-2-1,Tuvan-2_nosen-2,dumčuḳ,18,false,expert,,,,,*tumčuk
Bashkir-2_nosen-1-1,Bashkir-2_nosen-1,tanaw_bor,19,false,expert,,,,,*tanaɣa bor
Chuvash-2_nosen-1-1,Chuvash-2_nosen-1,səʷmza_bor,20,false,expert,,,,,*samsaɣa bor
AmamiAsama-3_gov-1-1,AmamiAsama-3_gov-1,Ɂikjuɴ,21,false,expert,,,,,*ka-
AmamiYamatohama-3_gov-1-1,AmamiYamatohama-3_gov-1,Ɂixjuri,21,false,expert,,,,,*ka-
AmamiYoron-3_gov-1-1,AmamiYoron-3_gov-1,ikjuɴ,21,false,expert,,,,,*ka-
Fukuoka-3_gov-1-1,Fukuoka-3_gov-1,iku,21,false,expert,,,,,*ka-
Gangwon-3_gov-1-1,Gangwon-3_gov-1,ka-,21,false,expert,,,,,*ka-
Gyeonggi-3_gov-1-1,Gyeonggi-3_gov-1,ka-,21,false,expert,,,,,*ka-
Hachijo-3_gov-1-1,Hachijo-3_gov-1,iku,21,false,expert,,,,,*ka-
Hwanghae-3_gov-1-1,Hwanghae-3_gov-1,ka-,21,false,expert,,,,,*ka-
Japanese-3_gov-1-1,Japanese-3_gov-1,ik-,21,false,expert,,,,,*ka-
Jeju-3_gov-1-1,Jeju-3_gov-1,ka-,21,false,expert,,,,,*ka-
Kagoshima-3_gov-1-1,Kagoshima-3_gov-1,iʔ,21,false,expert,,,,,*ka-
Korean-3_gov-1-1,Korean-3_gov-1,ka-,21,false,expert,,,,,*ka-
